total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,hosp_patients,new_tests,total_tests,new_tests_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,extreme_poverty
237634.0,385.0,439.429,4752.0,15.0,8.143,283.5,3410.0,1483890.0,7023.0,239342.0,153888.0,85454.0,63759.5,2729.0,2968128.0,1.8
241336.0,383.0,528.857,4823.0,11.0,10.143,283.5,3410.0,1162357.5,6534.0,275138.0,176552.0,98586.0,63759.5,5114.0,2968128.0,1.8
245025.0,423.0,527.0,4911.0,7.0,12.571,283.5,3410.0,1572855.0,6176.0,303325.0,195290.0,108035.0,63759.5,4027.0,2968128.0,1.8
351892.0,1408.0,1862.571,5881.0,38.0,75.714,2043.0,9909.0,3757237.0,23423.0,755.0,755.0,903144.0,31227.5,37194.5,9043072.0,0.7
353484.0,1592.0,1873.0,5931.0,50.0,70.857,2089.0,21246.0,3778483.0,23464.0,2084.0,2083.0,1.0,1329.0,1329.0,9043072.0,0.7
355352.0,1868.0,1875.143,6059.0,128.0,74.143,2116.0,293340.0,33472595.5,19303.0,3766.0,3765.0,1.0,1682.0,1506.0,9043072.0,0.7
357902.0,2550.0,1935.0,6149.0,90.0,70.714,2012.0,293340.0,33472595.5,13859.0,5183.0,5182.0,1.0,1417.0,1476.0,9043072.0,0.7
360815.0,2913.0,1944.429,6222.0,73.0,68.143,1946.0,293340.0,33472595.5,9743.0,5195.0,5194.0,1.0,12.0,1110.0,9043072.0,0.7
362911.0,2096.0,1979.429,6261.0,39.0,68.286,1858.0,293340.0,33472595.5,6702.0,5202.0,5201.0,1.0,7.0,889.0,9043072.0,0.7
364302.0,1391.0,1974.0,6275.0,14.0,61.714,1858.0,293340.0,33472595.5,4690.0,5212.0,5211.0,1.0,10.0,743.0,9043072.0,0.7
365768.0,1466.0,1982.286,6324.0,49.0,63.286,1864.0,293340.0,3780489.0,3322.0,5219.0,5218.0,1.0,7.0,638.0,9043072.0,0.7
367410.0,1642.0,1989.429,6357.0,33.0,60.857,1953.0,12601.0,3793090.0,2087.0,5348.0,5347.0,1.0,129.0,466.0,9043072.0,0.7
369721.0,2311.0,2052.714,6457.0,100.0,56.857,2033.0,15450.0,3808540.0,4246.0,7170.0,7169.0,1.0,1822.0,486.0,9043072.0,0.7
372190.0,2469.0,2041.143,6525.0,68.0,53.714,2022.0,22630.0,3831170.0,7431.0,8033.0,8032.0,1.0,863.0,407.0,9043072.0,0.7
374730.0,2540.0,1987.857,6568.0,43.0,49.429,1981.0,16752.0,3847922.0,9777.0,11334.0,11333.0,1.0,3301.0,877.0,9043072.0,0.7
376793.0,2063.0,1983.143,6641.0,73.0,54.286,2000.0,23605.0,3871527.0,13101.0,24593.0,24592.0,1.0,13259.0,2770.0,9043072.0,0.7
379071.0,2278.0,2109.857,6687.0,46.0,58.857,1957.0,19780.0,3891307.0,15879.0,29157.0,29156.0,1.0,4564.0,3421.0,9043072.0,0.7
380722.0,1651.0,2136.286,6723.0,36.0,57.0,1874.0,14175.0,3905482.0,17856.0,31424.0,31423.0,1.0,2267.0,3744.0,9043072.0,0.7
382258.0,1536.0,2121.143,6747.0,24.0,55.714,1918.0,14089.0,3919571.0,18069.0,37163.0,37162.0,1.0,5739.0,4545.0,9043072.0,0.7
383833.0,1575.0,2016.0,6819.0,72.0,51.714,1923.0,2945871.0,6865442.0,436700.0,52308.0,52307.0,1.0,15145.0,6448.0,9043072.0,0.7
385750.0,1917.0,1937.143,6868.0,49.0,49.0,1825.0,124267.0,6989709.0,451220.0,68528.0,68527.0,1.0,16220.0,8642.0,9043072.0,0.7
389260.0,3510.0,2075.714,6921.0,53.0,50.429,1725.0,390264.0,7379973.0,504579.0,85578.0,85577.0,1.0,17050.0,10606.0,9043072.0,0.7
390788.0,1528.0,1999.286,6987.0,66.0,49.429,1705.0,79635.0,7459608.0,512583.0,104320.0,104319.0,1.0,18742.0,11390.0,9043072.0,0.7
392511.0,1723.0,1920.0,7053.0,66.0,52.286,1668.0,79124.0,7538732.0,521061.0,111232.0,111218.0,14.0,6912.0,11725.0,9043072.0,0.7
393778.0,1267.0,1865.143,7082.0,29.0,51.286,1635.0,52039.0,7590771.0,526470.0,117002.0,116611.0,391.0,5770.0,12225.0,9043072.0,0.7
394939.0,1161.0,1811.571,7122.0,40.0,53.571,1673.0,106991.0,7697762.0,539742.0,128574.0,127283.0,1291.0,11572.0,13059.0,9043072.0,0.7
396425.0,1486.0,1798.857,7199.0,77.0,54.286,1729.0,180970.0,7878732.0,144756.0,154996.0,152212.0,2784.0,26422.0,14670.0,9043072.0,0.7
398096.0,1671.0,1763.714,7237.0,38.0,52.714,1683.0,610150.0,8488882.0,214168.0,178858.0,174754.0,4104.0,23862.0,15761.0,9043072.0,0.7
399798.0,1702.0,1505.429,7288.0,51.0,52.429,1606.0,46353.0,8535235.0,165037.0,198951.0,194676.0,4275.0,20093.0,16196.0,9043072.0,0.7
401886.0,2088.0,1585.429,7330.0,42.0,49.0,1586.0,58656.0,8593891.0,162040.0,210665.0,205788.0,4877.0,11714.0,15192.0,9043072.0,0.7
403512.0,1626.0,1571.571,7389.0,59.0,48.0,1525.0,89237.0,8683128.0,163485.0,213836.0,208956.0,4880.0,3171.0,14658.0,9043072.0,0.7
